"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"epic Problems","feature Easy","story Gas station","0","0","6","0","0"
"","","","17","0","61","11","0"
"epic Problems","feature Easy","story Maximum subarray","2","0","22","0","0"
"epic Problems","feature Easy","story Climbing stairs","0","0","20","0","0"
"epic Challenges","feature 20210101-20210107","story Check array formation through concatenation","0","0","0","1","0"
"epic Problems","feature Easy","story Degree of an array","6","0","0","0","0"
"epic Problems","feature Medium","story Gas station","0","0","3","0","0"
"epic Challenges","feature 20201001-20201007","story Recent counter","0","0","1","0","0"
"epic Problems","feature Easy","story Majority element","0","0","2","0","0"
"epic Challenges","feature 20201001-20201007","story Some","0","0","1","0","0"
"epic Challenges","feature 20201001-20201007","story Number of recent calls","0","0","1","0","0"
